영화인 '라이언 레놀즈'의 필모 리스트,,,,,,,,,
영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
아스테릭스 : 미션 클레오파트라,Asterix And Obelix Mission Cleopatre,2002,프랑스,코미디,배급사,0,"58,611",,
케이티,Kt,2002,"한국,일본","드라마,스릴러",제작사,,"4,333",,
케이트 앤 레오폴드,Kate & Leopold,2001,미국,"멜로/로맨스,판타지",배급사,0,"50,000","1,591,000",195
고스포드 파크,Gosford Park,2001,영국,드라마,배급사,0,"36,401","970,500",167
기묘한 이야기,Tales of the Unusual,2000,일본,"공포(호러),드라마,판타지",배급사,0,"89,000",,
빅마마 하우스,Big Momma's House,2000,미국,"코미디,범죄","배급사,수입사",0,"50,268",,
왓 라이즈 비니스,What Lies Beneath,2000,미국,"공포(호러),미스터리,스릴러","배급사,수입사",0,"281,598",,
"미, 마이셀프 앤드 아이린","Me, Myself & Irene",2000,미국,"코미디,스릴러","배급사,수입사",0,"58,958",,
엑스맨,X - Man,2000,미국,"SF,액션,판타지","배급사,수입사",0,"463,371",,
타이탄 A.E,Titan A.E,2000,미국,"애니메이션,SF","배급사,수입사",0,"20,647",,
비밀,Secret,1999,일본,드라마,배급사,0,"182,130","4,350,000",704
소년은 울지 않는다,Boys Don`T Cry,1999,미국,드라마,배급사,0,"10,186",,
25살의 키스,Never Been Kissed,1999,미국,"멜로/로맨스,코미디",수입사,0,"5,560",,
비치,The Beach,1999,미국,"어드벤처,스릴러",배급사,0,"187,460",,
에어 콘트롤,Pushing Tin,1999,미국,"코미디,드라마",배급사,0,"28,995",,
애나 앤드 킹,Anna And The King,1999,미국,"드라마,코미디,멜로/로맨스",직배사,0,"204,138","315,000",105
텔미썸딩,Tell Me Something,1999,한국,"스릴러,미스터리",제공,0,"1,230,000",,
파이트 클럽,Fight Club,1999,미국,"액션,범죄,드라마,스릴러",직배사,0,"54,735","126,499,200","16,053"
브로크다운 펠리스,Brokedown Palace,1999,미국,드라마,직배사,0,"11,435",,
카라,Calla,1999,한국,"멜로/로맨스,판타지",배급사,0,"64,347",,
한 여름밤의 꿈,A Midsummer Night'S Dream,1999,미국,"코미디,판타지",직배사,0,"39,783","716,000",362
스타워즈:에피소드1 보이지 않는 위험,Star Wars: Episode I - The Phantom Menace,1999,미국,"SF,액션,어드벤처,판타지","제작사,배급사",0,"746,654","1,230,735,000","110,702"
불워스,Bulworth,1998,미국,"코미디,드라마,멜로/로맨스",직배사,0,"1,285",,
